date,time,name,gender,city,userLevel,score,content
2019-11-29,2019-11-29 17:00:10,瞎碰猫二子,2,天津,2,4,画面有点糊 音乐故事都是极致 感动
2019-11-29,2019-11-29 16:56:36,但愿老死花酒间,0,南京,2,5,好看，剧情满分，这是一段我终身难忘的美好回忆😊 
2019-11-29,2019-11-29 16:55:34,alice9098,2,长沙,2,4,还不错，挺好
2019-11-29,2019-11-29 16:53:43,天0517,1,南京,3,5,令人深思的电影
2019-11-29,2019-11-29 16:53:43,圆圆931010,0,上海,2,0.5,电影院的服务员态度太垃圾了
2019-11-29,2019-11-29 16:47:28,mhd775865144,0,贵阳,3,5,可能1900不是一个真人，是一个时代的化身。是一种意志的延续，这种电影，看一部少一部
2019-11-29,2019-11-29 16:47:15,Xjhyl620609,0,北京,4,4.5,好看，己看两遍。人物刻画逼真，画面时代感很强。
2019-11-29,2019-11-29 16:45:01,iYb194650684,2,南京,3,5,经典再现，看得很难受
2019-11-29,2019-11-29 16:40:49,lJW843208575,0,北京,2,5,坚守住自己的生活
2019-11-29,2019-11-29 15:22:42,Xma256177416,0,杭州,2,5,1900弹钢琴的样子太美好了
2019-11-29,2019-11-29 15:06:57,波蔓猫,2,武汉,4,4.5,替男主可惜，没办法迈出那一步，从海上来又走入海
2019-11-29,2019-11-29 15:05:15,TG1976,1,大连,4,4,还不错，没用想象中的好
2019-11-29,2019-11-29 15:01:49,山斗1,2,武汉,2,5,值得二刷的好片
2019-11-29,2019-11-29 15:00:56,罂粟花开,2,广州,2,5,挺好看的一部电影，片末男主和好友的那番对话让人有种锥心之痛，泪流满面的同时却多出一份感慨，老天或许爱和你开玩笑让你的人生路不能一马平川，那么给自己多一分勇气生活势必会有另一番景象…
2019-11-29,2019-11-29 14:54:37,PbB460904697,0,乌鲁木齐,2,4.5,经典就是经典！没人能够超越！电影背后的含义值得一生去品味！
2019-11-29,2019-11-29 14:54:18,饶舌让你热。,2,太原,3,5,喜欢。不错。
2019-11-29,2019-11-29 14:52:47,扑克__K,1,邓州,2,3.5,一张电影票，赴了约21年的约
2019-11-29,2019-11-29 14:48:59,屎又木有卡路里,2,玉林,1,5,没时间去看  后面转给朋友了  也不知道剧情怎么样
2019-11-29,2019-11-29 14:47:25,qzuser,1,广汉,3,5,如果可以我也想当1900
2019-11-29,2019-11-29 14:43:26,zhangchuc,1,义乌,4,5,非常好看，真的是经典
2019-11-29,2019-11-29 14:39:13,Quentin,1,霞浦,4,3.5,经典老片！！
2019-11-29,2019-11-29 14:37:50,YdH527136036,0,海口,3,5,很经典的影片。
2019-11-29,2019-11-29 14:34:06,南京禄口机场铂尔曼高恬逸,1,南京,2,1,国外几十年前得片子。
2019-11-29,2019-11-29 14:32:15,张英伦哥哥,1,青岛,4,5,重温经典，之前每个历历在目的镜头再次出现在面前，激动和享受
2019-11-29,2019-11-29 13:24:19,SHINI越GAMI,1,石家庄,4,3.5,虽然快睡着了。
2019-11-29,2019-11-29 13:24:17,布衣暖（秦亚丽）,0,石家庄,4,5,一个人能在飘摇不定的海上自如安然时，他反而会不适应了陆地的安稳吧？正如钢琴师说的“阻止了我的脚步的，并不是我所看见的东西，而是我所无法看见的那些东西。陆地对我来说是一艘太大的船，一个太漂亮的女人，一段太长的旅行，一瓶太刺鼻的香水，一种我不会创作的音乐”其实，海上和陆地都是一样的，不安的只是我们的动心起念……无所畏惧，如如不动。
2019-11-29,2019-11-29 13:20:35,WOLOK,1,台州,5,4,还可以吧吧吧吧吧吧
2019-11-29,2019-11-29 13:14:07,dsG154835078,0,北京,2,4,总感觉少了点什么
2019-11-29,2019-11-29 13:08:54,fanshileya,0,上海,1,5,看《海上钢琴师》心里酸酸的，既为主人公为艺术执着感动，也为他一生没有踏上陆地一步叹息，每个人有他的人生追求，只要开心就好
2019-11-29,2019-11-29 13:06:33,Dda607231984,0,济宁,1,5,青春记忆，回看一遍还是热泪盈眶
2019-11-29,2019-11-29 13:04:20,Man²🐬,2,广州,2,5,神一般的钢琴师，只是他一出生就在船上，习惯熟悉的环境，看得见的空间。所以一直不敢下船，直到最后，也和在船一起。
2019-11-29,2019-11-29 13:02:07,琦小琦不会骑马,0,滕州,4,5,10分给你，不言不表
2019-11-29,2019-11-29 13:02:04,Simei小胖花花,2,广州,4,5,一个人买了电影票去看的，他太厉害了，从没下过陆地，音乐天赋又好，性格单纯，无论年纪多大，都在自己的世界，活得很精彩，人们有时候无法看透他的想法，最后不想下船的他，虽然我们最后知道他的想法，确仍然忍不住自己的泪水……
2019-11-29,2019-11-29 12:56:35,紫藤叶子610,0,咸阳,3,5,多年前看过的电影！重温一下貌似已经遗忘的经典！轮船爆炸那一瞬间泪目了，可惜、可怜、可悲……不过想想，能活在自己的世界里，是一种能力也是一种幸福！世间无数诱惑，让人为之向往，他坚持了！我们却终其一生也无法找到那个可以为之去死属于灵魂的东西～～～
2019-11-29,2019-11-29 12:45:00,iWv819778766,0,无锡,3,5,跌宕起伏，艺术的表现
2019-11-29,2019-11-29 12:42:56,recore,1,昆明,2,4,很好的，经典的
2019-11-29,2019-11-29 12:42:03,海豚爱上威威猫,1,中山,2,5,三部曲之一。
2019-11-29,2019-11-29 12:41:27,Jessica吃不胖,2,阜宁,2,5,9/10。一开始觉得男主太懦弱，像极了每一个我们。后来才想明白了，也许大海才是他最好的归宿。
2019-11-29,2019-11-29 12:39:44,你好漂亮20134,0,合肥,2,5,很好。值得深思的一部电影，很经典。
2019-11-29,2019-11-29 11:59:07,🙂,1,沙湾,2,5,很不错的电影，引人深思😬 
2019-11-29,2019-11-29 11:52:58,乐传章,0,集美,2,5,一部好的电影能够触发人们心灵深处去提问，那些思考不需要等待911或者自然灾害后才去自问，未来如何打算？
2019-11-29,2019-11-29 11:52:04,GPh935651033,2,济南,4,5,好看，好的电影值重映
2019-11-29,2019-11-29 11:48:53,aZM714683576,0,诸城,3,5,完美的电影，非常赞
2019-11-29,2019-11-29 11:44:31,wId331487965,0,上海,4,3.5,hd@tvffr
2019-11-29,2019-11-29 11:37:01,可乐,2,哈尔滨,1,5,喜欢1900内心干净纯粹，不被世俗污染，艺术境界高，特别是他的眼睛能流露出好多东西。
2019-11-29,2019-11-29 11:31:50,张洁友,1,上海,2,5,钢琴师对不同人物的观察很有意思
2019-11-29,2019-11-29 11:29:36,Jessie 林,2,广州,2,5,生于海归于海，太棒了
2019-11-29,2019-11-29 11:24:11,东北浪,0,西安,4,2.5,艺术性影片，太消极
2019-11-29,2019-11-29 11:21:56,黑色铅笔999,2,濮阳,1,5,太震撼我了，久久不能释怀男主演技完爆自然流露的那些感觉很无奈又很洒脱很忠于自我
2019-11-29,2019-11-29 11:19:07,平头哥歌,0,宜春,2,4.5,嗯，蛮好看的，不错还可以。
2019-11-29,2019-11-29 11:12:23,落日,0,荆州,2,0.5,超级垃圾。。
2019-11-29,2019-11-29 11:12:22,花花流连,0,东莞,4,5,世界那么大，我想要的不过是船头到船尾的距离
2019-11-29,2019-11-29 11:11:46,QVL304147575,2,阳江,1,4.5,很悲，🤣🤣🤣
2019-11-29,2019-11-29 11:11:43,SxF921339287,0,东莞,2,5,他属于佛吉尼亚号，连同梦想与荣光。
2019-11-29,2019-11-29 10:39:47,AIR,1,沈阳,2,5,五分给的是原版，新版剪辑的过于严重，影响了过渡。
2019-11-29,2019-11-29 10:37:00,夜里看海,2,合肥,2,5,很好，其实是一部自己与自己告别的故事吗
2019-11-29,2019-11-29 10:28:15,二木,2,惠州,1,5,我知道他想表达一种观念，但是我想我还是没能明白，但他通篇给我的感觉十分的舒畅，哪怕他最后面对死亡，他那种故作轻松也是舒服的。但是他说，这个城市看不到尽头，他不敢下船去。我想他把他自己囚禁起来了。
2019-11-29,2019-11-29 10:27:48,绺 清,1,杭州,2,5,欧克欧克欧克
2019-11-29,2019-11-29 10:24:48,dDf689445934,2,绵阳,3,4.5,作为托纳托雷的时光三部曲中唯一一部英语电影 在20年后4k重置 这次看到了很多以前看的时候没看懂的方面 比如动荡的社会 美国梦 像1900这样的人确实很少了 能够坚持自己的事业 不会为其他事情而动摇 可男主却卖掉了自己的小号 来换钱 1900在影片中被塑造的很偏执 他想过踏上大陆 但是看到这快节奏的生活 看到被工业污染的城市 最终选择留在船上 导演用大量碎镜头来提现主角回应1900的往事 色调也很活泼 在现实生活中的主角 却用固定镜头 或是长镜头呈现 更加的区别开了现实和回忆 其实主角是向往想1900一样活着 影片有大量给人物面部表情的特写 快速的表达了人们的性格和1900不同于别人的气质
2019-11-29,2019-11-29 10:23:54,CLRETURN,0,无锡,3,5,虽然买了，但缺少能一起去看的人
2019-11-29,2019-11-29 10:21:08,UVp458101567,0,晋中,3,5,被人记得的日子，是有尽头的。我的大海，是每一句爱与关怀。我感激 我此生乘坐这条船-1994
2019-11-29,2019-11-29 10:21:03,Chloe小芒果🎵,0,江阴,3,5,在有限里寻找无限不能再认同永远的1900
2019-11-29,2019-11-29 10:20:58,晨曦,2,内江,2,4,那是现代人生活的另一面
2019-11-29,2019-11-29 10:20:55,FOREVER,2,上海,6,5,好一场过瘾精彩的音乐盛宴好一位音乐🎵天才，听到什么看到什么美妙的乐曲就弹出来了，他是婴儿👶时被父亲👨捡来的生活至八岁时，父亲意外的去世后使他一直跟着船🚢上的船员一起生活和长大！从小经历的和遇到的使他一切都看得那么透彻，活得听从内心深处的声音活得纯真无邪！所以他离不开船🚢和船🚢共存亡！
2019-11-29,2019-11-29 10:20:40,lID529625954,0,福安,2,1,一点都不好看，没有故事情节！垃圾片
2019-11-29,2019-11-29 10:19:29,QiuDoudouou,2,南京,1,5,海上钢琴师 满分不多说
2019-11-29,2019-11-29 10:18:27,叶落时yxy,0,南京,2,5,他在海上，才自由。
2019-11-29,2019-11-29 10:17:52,DUz766889517,0,长沙,3,5,看完感觉心里充满了许多不一样的感情，又好像心里什么都没有
2019-11-29,2019-11-29 10:14:30,Elaborate,1,广州,2,4.5,听舍友说是翻拍，但是演员很出色，表情非常到位。刻画的非常活灵活现。
2019-11-29,2019-11-29 09:37:07,映日荷花,2,北京,3,5,被感动的泪流满面！人通常只有在最低谷最痛苦的时候才有所顿悟有所觉醒，而在自认为成功、逍遥或一帆风顺时，都是那么的愚钝迷茫！1900，这个从出生到结束对世界来说就是一个隐形人的天才钢琴师，有一双洞察世界的眼睛、一颗能感知万物的心和纯净高洁的灵魂！否则他怎么会创作和演奏出如此奇妙如此惊艳的旋律、怎么会那么地了解世间了解自己，为自己找到最完美的归宿？！他没有迷茫没有疑问，他坚信他从船上来，为钢琴生，最终要在船上去！
